CardName,Set,CardNumber,VariantType,Rarity,Count,IsFoil
Asajj Ventress,JTL,001,Normal,Rare,1,False
Grand Admiral Thrawn,JTL,002,Normal,Common,1,False
Lando Calrissian,JTL,003,Normal,Rare,1,False
Rose Tico,JTL,004,Normal,Common,1,False
Admiral Piett,JTL,005,Normal,Rare,1,False
Darth Vader,JTL,006,Normal,Common,1,False
Admiral Holdo,JTL,007,Normal,Rare,1,False
Wedge Antilles,JTL,008,Normal,Common,1,False
Boba Fett,JTL,009,Normal,Special,1,False
Captain Phasma,JTL,010,Normal,Rare,1,False
Major Vonreg,JTL,011,Normal,Common,1,False
Luke Skywalker,JTL,012,Normal,Common,1,False
Poe Dameron,JTL,013,Normal,Rare,1,False
Admiral Trench,JTL,014,Normal,Rare,1,False
Rio Durant,JTL,015,Normal,Common,1,False
Admiral Ackbar,JTL,016,Normal,Common,1,False
Han Solo,JTL,017,Normal,Special,1,False
Kazuda Xiono,JTL,018,Normal,Rare,1,False
City in the Clouds,JTL,019,Normal,Common,1,False
Shield Generator Complex,JTL,020,Normal,Common,1,False
Colossus,JTL,021,Normal,Rare,1,False
Resistance Headquarters,JTL,022,Normal,Common,1,False
Theed Palace,JTL,023,Normal,Common,1,False
Data Vault,JTL,024,Normal,Rare,1,False
Thermal Oscillator,JTL,025,Normal,Rare,1,False
Massassi Temple,JTL,026,Normal,Common,1,False
Nadiri Dockyards,JTL,027,Normal,Common,1,False
Nabat Village,JTL,028,Normal,Rare,1,False
Chopper Base,JTL,029,Normal,Common,1,False
Mos Eisley,JTL,030,Normal,Common,1,False
Lake Country,JTL,031,Normal,Rare,1,False
Director Krennic,JTL,032,Normal,Uncommon,1,False
Onyx Squadron Brute,JTL,033,Normal,Common,1,False
Interceptor Ace,JTL,034,Normal,Common,1,False
Tam Ryvora,JTL,035,Normal,Rare,1,False
Iden Versio,JTL,036,Normal,Rare,1,False
Banshee,JTL,037,Normal,Uncommon,1,False
Corvus,JTL,038,Normal,Rare,1,False
Chimaera,JTL,039,Normal,Uncommon,1,False
Fleet Interdictor,JTL,040,Normal,Common,1,False
Annihilator,JTL,041,Normal,Legendary,1,False
Power from Pain,JTL,042,Normal,Uncommon,1,False
"No Glory, Only Results",JTL,043,Normal,Rare,1,False
Echo Base Engineer,JTL,044,Normal,Common,1,False
Hera Syndulla,JTL,045,Normal,Uncommon,1,False
Paige Tico,JTL,046,Normal,Uncommon,1,False
Admiral Yularen,JTL,047,Normal,Rare,1,False
Cassian Andor,JTL,048,Normal,Rare,1,False
L3-37,JTL,049,Normal,Rare,1,False
Phantom II,JTL,050,Normal,Rare,1,False
Red Squadron X-Wing,JTL,051,Normal,Common,1,False
D'Qar Cargo Frigate,JTL,052,Normal,Common,1,False
The Ghost,JTL,053,Normal,Legendary,1,False
Gold Leader,JTL,054,Normal,Uncommon,1,False
"You're All Clear, Kid",JTL,055,Normal,Uncommon,1,False
Hondo Ohnaka,JTL,056,Normal,Legendary,1,False
Astromech Pilot,JTL,057,Normal,Uncommon,1,False
Academy Graduate,JTL,058,Normal,Common,1,False
Corporate Defense Shuttle,JTL,059,Normal,Rare,1,False
Desperate Commando,JTL,060,Normal,Common,1,False
Royal Security Fighter,JTL,061,Normal,Common,1,False
Silver Angel,JTL,062,Normal,Uncommon,1,False
Landing Shuttle,JTL,063,Normal,Common,1,False
Omicron Strike Craft,JTL,064,Normal,Common,1,False
Outer Rim Outlaws,JTL,065,Normal,Common,1,False
Trace Martez,JTL,066,Normal,Uncommon,1,False
Cloaked StarViper,JTL,067,Normal,Common,1,False
Perimeter AT-RT,JTL,068,Normal,Common,1,False
Munificent Frigate,JTL,069,Normal,Common,1,False
U-Wing Lander,JTL,070,Normal,Uncommon,1,False
CR90 Relief Runner,JTL,071,Normal,Common,1,False
Wing Guard Security Team,JTL,072,Normal,Uncommon,1,False
Grim Valor,JTL,073,Normal,Uncommon,1,False
Close the Shieldgate,JTL,074,Normal,Rare,1,False
Repair,JTL,075,Normal,Common,1,False
Covering the Wing,JTL,076,Normal,Common,1,False
In the Heat of Battle,JTL,077,Normal,Rare,1,False
Direct Hit,JTL,078,Normal,Common,1,False
Out the Airlock,JTL,079,Normal,Common,1,False
Nebula Ignition,JTL,080,Normal,Legendary,1,False
First Order TIE Fighter,JTL,081,Normal,Common,1,False
Kijimi Patrollers,JTL,082,Normal,Common,1,False
Pantoran Starship Thief,JTL,083,Normal,Rare,1,False
Wingman Victor Two,JTL,084,Normal,Uncommon,1,False
Victor Leader,JTL,085,Normal,Rare,1,False
Wingman Victor Three,JTL,086,Normal,Uncommon,1,False
TIE Ambush Squadron,JTL,087,Normal,Common,1,False
Captain Phasma,JTL,088,Normal,Uncommon,1,False
