CardName,Set,CardNumber,VariantType,Rarity,Count,IsFoil
Gar Saxon,SHD,001,Normal,Common,1,False
Qi'ra,SHD,002,Normal,Rare,1,False
Finn,SHD,003,Normal,Rare,1,False
Rey,SHD,004,Normal,Common,1,False
Hondo Ohnaka,SHD,005,Normal,Common,1,False
Jabba the Hutt,SHD,006,Normal,Rare,1,False
Moff Gideon,SHD,007,Normal,Special,1,False
Boba Fett,SHD,008,Normal,Common,1,False
Hunter,SHD,009,Normal,Rare,1,False
Bossk,SHD,010,Normal,Common,1,False
Kylo Ren,SHD,011,Normal,Rare,1,False
Bo-Katan Kryze,SHD,012,Normal,Rare,1,False
Han Solo,SHD,013,Normal,Common,1,False
Cad Bane,SHD,014,Normal,Common,1,False
Doctor Aphra,SHD,015,Normal,Rare,1,False
Fennec Shand,SHD,016,Normal,Common,1,False
Lando Calrissian,SHD,017,Normal,Rare,1,False
The Mandalorian,SHD,018,Normal,Special,1,False
Remnant Science Facility,SHD,019,Normal,Common,1,False
Remote Village,SHD,020,Normal,Common,1,False
Maz Kanata's Castle,SHD,021,Normal,Common,1,False
Nevarro City,SHD,022,Normal,Common,1,False
Death Watch Hideout,SHD,023,Normal,Common,1,False
Spice Mines,SHD,024,Normal,Common,1,False
Coronet City,SHD,025,Normal,Common,1,False
Jabba's Palace,SHD,026,Normal,Common,1,False
Hylobon Enforcer,SHD,027,Normal,Common,1,False
Doctor Pershing,SHD,028,Normal,Rare,1,False
Pyke Sentinel,SHD,029,Normal,Common,1,False
Death Trooper,SHD,030,Normal,Special,1,False
The Client,SHD,031,Normal,Uncommon,1,False
Lom Pyke,SHD,032,Normal,Rare,1,False
Synara San,SHD,033,Normal,Uncommon,1,False
Supercommando Squad,SHD,034,Normal,Common,1,False
Clan Saxon Gauntlet,SHD,035,Normal,Uncommon,1,False
First Light,SHD,036,Normal,Rare,1,False
Supreme Leader Snoke,SHD,037,Normal,Legendary,1,False
Brutal Traditions,SHD,038,Normal,Uncommon,1,False
Calculated Lethality,SHD,039,Normal,Special,1,False
Clan Wren Rescuer,SHD,040,Normal,Common,1,False
Kuiil,SHD,041,Normal,Uncommon,1,False
Concord Dawn Interceptors,SHD,042,Normal,Uncommon,1,False
Village Protectors,SHD,043,Normal,Common,1,False
Razor Crest,SHD,044,Normal,Special,1,False
Rose Tico,SHD,045,Normal,Uncommon,1,False
Rey,SHD,046,Normal,Legendary,1,False
The Armorer,SHD,047,Normal,Uncommon,1,False
Gentle Giant,SHD,048,Normal,Common,1,False
The Mandalorian,SHD,049,Normal,Legendary,1,False
Chewbacca,SHD,050,Normal,Rare,1,False
Mystic Reflection,SHD,051,Normal,Rare,1,False
Sugi,SHD,052,Normal,Rare,1,False
Second Chance,SHD,053,Normal,Legendary,1,False
Midnight Repairs,SHD,054,Normal,Uncommon,1,False
Moisture Farmer,SHD,055,Normal,Common,1,False
Follower of The Way,SHD,056,Normal,Common,1,False
Rickety Quadjumper,SHD,057,Normal,Common,1,False
Val,SHD,058,Normal,Rare,1,False
Embo,SHD,059,Normal,Uncommon,1,False
HWK-290 Freighter,SHD,060,Normal,Common,1,False
Wroshyr Tree Tender,SHD,061,Normal,Common,1,False
Niima Outpost Constables,SHD,062,Normal,Common,1,False
System Patrol Craft,SHD,063,Normal,Special,1,False
Survivors' Gauntlet,SHD,064,Normal,Rare,1,False
Vigilant Pursuit Craft,SHD,065,Normal,Common,1,False
Cargo Juggernaut,SHD,066,Normal,Common,1,False
Fenn Rau,SHD,067,Normal,Uncommon,1,False
Public Enemy,SHD,068,Normal,Common,1,False
Foundling,SHD,069,Normal,Common,1,False
Resilient,SHD,070,Normal,Special,1,False
Top Target,SHD,071,Normal,Uncommon,1,False
Imprisoned,SHD,072,Normal,Rare,1,False
Mandalorian Armor,SHD,073,Normal,Rare,1,False
Vambrace Grappleshot,SHD,074,Normal,Common,1,False
Covert Strength,SHD,075,Normal,Common,1,False
Unexpected Escape,SHD,076,Normal,Uncommon,1,False
Evidence of the Crime,SHD,077,Normal,Rare,1,False
Fell the Dragon,SHD,078,Normal,Uncommon,1,False
Rival's Fall,SHD,079,Normal,Common,1,False
Salacious Crumb,SHD,080,Normal,Uncommon,1,False
General Tagge,SHD,081,Normal,Special,1,False
Outland TIE Vanguard,SHD,082,Normal,Common,1,False
Seasoned Shoretrooper,SHD,083,Normal,Special,1,False
Phase-III Dark Trooper,SHD,084,Normal,Special,1,False
Superlaser Technician,SHD,085,Normal,Special,1,False
Warbird Stowaway,SHD,086,Normal,Common,1,False
Crosshair,SHD,087,Normal,Uncommon,1,False
Ephant Mon,SHD,088,Normal,Rare,1,False
Pirate Battle Tank,SHD,089,Normal,Common,1,False
Maul,SHD,090,Normal,Rare,1,False
Jabba's Rancor,SHD,091,Normal,Uncommon,1,False
Finalizer,SHD,092,Normal,Legendary,1,False
Remnant Reserves,SHD,093,Normal,Uncommon,1,False
Palpatine's Return,SHD,094,Normal,Rare,1,False
Clone Deserter,SHD,095,Normal,Common,1,False
Maz Kanata,SHD,096,Normal,Rare,1,False
Freetown Backup,SHD,097,Normal,Uncommon,1,False
Sundari Peacekeeper,SHD,098,Normal,Uncommon,1,False
Echo,SHD,099,Normal,Uncommon,1,False
Modded Cohort,SHD,100,Normal,Common,1,False
Adelphi Patrol Wing,SHD,101,Normal,Common,1,False
The Marauder,SHD,102,Normal,Rare,1,False
General Rieekan,SHD,103,Normal,Rare,1,False
Inspiring Mentor,SHD,104,Normal,Rare,1,False
Spark of Hope,SHD,105,Normal,Uncommon,1,False
Rule with Respect,SHD,106,Normal,Legendary,1,False
Enterprising Lackeys,SHD,107,Normal,Rare,1,False
Enforced Loyalty,SHD,108,Normal,Uncommon,1,False
Endless Legions,SHD,109,Normal,Legendary,1,False
Warzone Lieutenant,SHD,110,Normal,Common,1,False
Collections Starhopper,SHD,111,Normal,Common,1,False
Gamorrean Retainer,SHD,112,Normal,Common,1,False
Privateer Crew,SHD,113,Normal,Uncommon,1,False
Scanning Officer,SHD,114,Normal,Uncommon,1,False
Cobb Vanth,SHD,115,Normal,Rare,1,False
Outlaw Corona,SHD,116,Normal,Common,1,False
Reputable Hunter,SHD,117,Normal,Common,1,False
Kihraxz Heavy Fighter,SHD,118,Normal,Uncommon,1,False
Weequay Pirate Gang,SHD,119,Normal,Common,1,False
Discerning Veteran,SHD,120,Normal,Common,1,False
Mercenary Company,SHD,121,Normal,Common,1,False
Arquitens Assault Cruiser,SHD,122,Normal,Rare,1,False
Bounty Hunter's Quarry,SHD,123,Normal,Uncommon,1,False
Legal Authority,SHD,124,Normal,Rare,1,False
Price on Your Head,SHD,125,Normal,Common,1,False
The Darksaber,SHD,126,Normal,Legendary,1,False
Commission,SHD,127,Normal,Uncommon,1,False
Outflank,SHD,128,Normal,Common,1,False
Timely Intervention,SHD,129,Normal,Common,1,False
Moment of Glory,SHD,130,Normal,Common,1,False
Take Captive,SHD,131,Normal,Common,1,False
Choose Sides,SHD,132,Normal,Rare,1,False
Dengar,SHD,133,Normal,Uncommon,1,False
Guavian Antagonizer,SHD,134,Normal,Common,1,False
Kylo's TIE Silencer,SHD,135,Normal,Legendary,1,False
Death Watch Loyalist,SHD,136,Normal,Common,1,False
Punishing One,SHD,137,Normal,Uncommon,1,False
Jango Fett,SHD,138,Normal,Rare,1,False
Krrsantan,SHD,139,Normal,Uncommon,1,False
Trandoshan Hunters,SHD,140,Normal,Common,1,False
Kylo Ren,SHD,141,Normal,Legendary,1,False
Pre Vizsla,SHD,142,Normal,Rare,1,False
Ruthlessness,SHD,143,Normal,Rare,1,False
Give In to Your Anger,SHD,144,Normal,Rare,1,False
Headhunting,SHD,145,Normal,Uncommon,1,False
Heroic Renegade,SHD,146,Normal,Common,1,False
Ketsu Onyo,SHD,147,Normal,Uncommon,1,False
Cassian Andor,SHD,148,Normal,Uncommon,1,False
Nite Owl Skirmisher,SHD,149,Normal,Common,1,False
Koska Reeves,SHD,150,Normal,Rare,1,False
Valiant Assault Ship,SHD,151,Normal,Uncommon,1,False
Desperado Freighter,SHD,152,Normal,Common,1,False
Poe Dameron,SHD,153,Normal,Legendary,1,False
Wrecker,SHD,154,Normal,Rare,1,False
Heroic Resolve,SHD,155,Normal,Rare,1,False
Cripple Authority,SHD,156,Normal,Uncommon,1,False
Bo-Katan Kryze,SHD,157,Normal,Uncommon,1,False
Wild Rancor,SHD,158,Normal,Rare,1,False
The Chaos of War,SHD,159,Normal,Rare,1,False
Reckless Gunslinger,SHD,160,Normal,Common,1,False
Stolen Landspeeder,SHD,161,Normal,Rare,1,False
House Kast Soldier,SHD,162,Normal,Common,1,False
Migs Mayfeld,SHD,163,Normal,Rare,1,False
Rhokai Gunship,SHD,164,Normal,Common,1,False
Unlicensed Headhunter,SHD,165,Normal,Uncommon,1,False
Disabling Fang Fighter,SHD,166,Normal,Common,1,False
Wanted Insurgents,SHD,167,Normal,Common,1,False
Hunting Nexu,SHD,168,Normal,Common,1,False
Clan Challengers,SHD,169,Normal,Common,1,False
IG-11,SHD,170,Normal,Uncommon,1,False
Covetous Rivals,SHD,171,Normal,Common,1,False
Krayt Dragon,SHD,172,Normal,Legendary,1,False
Guild Target,SHD,173,Normal,Uncommon,1,False
