CardName,Set,CardNumber,VariantType,Rarity,Count,IsFoil
Nala Se,TWI,001,Normal,Rare,1,False
Nute Gunray,TWI,002,Normal,Common,1,False
Obi-Wan Kenobi,TWI,003,Normal,Common,1,False
Yoda,TWI,004,Normal,Rare,1,False
Count Dooku,TWI,005,Normal,Common,1,False
Wat Tambor,TWI,006,Normal,Rare,1,False
Captain Rex,TWI,007,Normal,Rare,1,False
Padme Amidala,TWI,008,Normal,Common,1,False
Maul,TWI,009,Normal,Common,1,False
Pre Vizsla,TWI,010,Normal,Rare,1,False
Ahsoka Tano,TWI,011,Normal,Special,1,False
Anakin Skywalker,TWI,012,Normal,Common,1,False
Mace Windu,TWI,013,Normal,Rare,1,False
Asajj Ventress,TWI,014,Normal,Rare,1,False
General Grievous,TWI,015,Normal,Special,1,False
Jango Fett,TWI,016,Normal,Common,1,False
Chancellor Palpatine,TWI,017,Normal,Rare,1,False
Quinlan Vos,TWI,018,Normal,Common,1,False
Pau City,TWI,019,Normal,Rare,1,False
Sundari,TWI,020,Normal,Common,1,False
The Crystal City,TWI,021,Normal,Common,1,False
Droid Manufactory,TWI,022,Normal,Rare,1,False
Lair of Grievous,TWI,023,Normal,Common,1,False
Tipoca City,TWI,024,Normal,Common,1,False
Shadow Collective Camp,TWI,025,Normal,Rare,1,False
KCM Mining Facility,TWI,026,Normal,Common,1,False
The Nest,TWI,027,Normal,Common,1,False
Petranaki Arena,TWI,028,Normal,Rare,1,False
Level 1313,TWI,029,Normal,Common,1,False
Pyke Palace,TWI,030,Normal,Common,1,False
Rune Haako,TWI,031,Normal,Uncommon,1,False
Wartime Trade Official,TWI,032,Normal,Common,1,False
Calculating MagnaGuard,TWI,033,Normal,Uncommon,1,False
General Grievous,TWI,034,Normal,Legendary,1,False
Morgan Elsbeth,TWI,035,Normal,Rare,1,False
Devastating Gunship,TWI,036,Normal,Common,1,False
Droideka Security,TWI,037,Normal,Common,1,False
Providence Destroyer,TWI,038,Normal,Uncommon,1,False
Malevolence,TWI,039,Normal,Rare,1,False
A Fine Addition,TWI,040,Normal,Rare,1,False
Lethal Crackdown,TWI,041,Normal,Uncommon,1,False
Barriss Offee,TWI,042,Normal,Rare,1,False
Outspoken Representative,TWI,043,Normal,Common,1,False
Kashyyyk Defender,TWI,044,Normal,Uncommon,1,False
41st Elite Corps,TWI,045,Normal,Common,1,False
Captain Typho,TWI,046,Normal,Uncommon,1,False
Satine Kryze,TWI,047,Normal,Legendary,1,False
Obi-Wan's Aethersprite,TWI,048,Normal,Uncommon,1,False
Knight of the Republic,TWI,049,Normal,Common,1,False
Luminara Unduli,TWI,050,Normal,Rare,1,False
For the Republic,TWI,051,Normal,Rare,1,False
Hello There,TWI,052,Normal,Uncommon,1,False
Finn,TWI,053,Normal,Rare,1,False
Duchess's Champion,TWI,054,Normal,Uncommon,1,False
Equalize,TWI,055,Normal,Rare,1,False
Compassionate Senator,TWI,056,Normal,Uncommon,1,False
Warrior Drone,TWI,057,Normal,Common,1,False
Padawan Starfighter,TWI,058,Normal,Common,1,False
Royal Guard Attache,TWI,059,Normal,Common,1,False
Trade Federation Shuttle,TWI,060,Normal,Common,1,False
Infantry of the 212th,TWI,061,Normal,Common,1,False
Daughter of Dathomir,TWI,062,Normal,Common,1,False
Vulture Interceptor Wing,TWI,063,Normal,Uncommon,1,False
Ki-Adi-Mundi,TWI,064,Normal,Legendary,1,False
Falchion Ion Tank,TWI,065,Normal,Common,1,False
Multi-Troop Transport,TWI,066,Normal,Common,1,False
The Zillo Beast,TWI,067,Normal,Rare,1,False
Foresight,TWI,068,Normal,Rare,1,False
Roger Roger,TWI,069,Normal,Rare,1,False
Perilous Position,TWI,070,Normal,Common,1,False
Unshakeable Will,TWI,071,Normal,Uncommon,1,False
I Have the High Ground,TWI,072,Normal,Rare,1,False
Grievous Reassembly,TWI,073,Normal,Common,1,False
Guarding the Way,TWI,074,Normal,Common,1,False
Disruptive Burst,TWI,075,Normal,Uncommon,1,False
Death by Droids,TWI,076,Normal,Uncommon,1,False
Vanquish,TWI,077,Normal,Common,1,False
The Invasion of Christophsis,TWI,078,Normal,Legendary,1,False
Confederate Courier,TWI,079,Normal,Common,1,False
Poggle the Lesser,TWI,080,Normal,Rare,1,False
Droid Commando,TWI,081,Normal,Common,1,False
MagnaGuard Wing Leader,TWI,082,Normal,Uncommon,1,False
General's Guardian,TWI,083,Normal,Special,1,False
Kraken,TWI,084,Normal,Uncommon,1,False
Kalani,TWI,085,Normal,Rare,1,False
Admiral Trench,TWI,086,Normal,Uncommon,1,False
Separatist Super Tank,TWI,087,Normal,Common,1,False
Reprocess,TWI,088,Normal,Uncommon,1,False
Consolidation of Power,TWI,089,Normal,Rare,1,False
Echo,TWI,090,Normal,Uncommon,1,False
Republic Tactical Officer,TWI,091,Normal,Common,1,False
Admiral Yularen,TWI,092,Normal,Rare,1,False
Advanced Recon Commando,TWI,093,Normal,Common,1,False
Shaak Ti,TWI,094,Normal,Uncommon,1,False
Pelta Supply Frigate,TWI,095,Normal,Common,1,False
Aayla Secura,TWI,096,Normal,Legendary,1,False
Captain Rex,TWI,097,Normal,Special,1,False
Republic Defense Carrier,TWI,098,Normal,Uncommon,1,False
Synchronized Strike,TWI,099,Normal,Uncommon,1,False
Petition the Senate,TWI,100,Normal,Rare,1,False
Mas Amedda,TWI,101,Normal,Rare,1,False
Manufactured Soldiers,TWI,102,Normal,Uncommon,1,False
Pyrrhic Assault,TWI,103,Normal,Legendary,1,False
Obedient Vanguard,TWI,104,Normal,Common,1,False
Steadfast Senator,TWI,105,Normal,Uncommon,1,False
Coruscant Guard,TWI,106,Normal,Common,1,False
Patrolling V-Wing,TWI,107,Normal,Special,1,False
Ryloth Militia,TWI,108,Normal,Common,1,False
501st Liberator,TWI,109,Normal,Common,1,False
Huyang,TWI,110,Normal,Rare,1,False
Republic ARC-170,TWI,111,Normal,Common,1,False
Subjugating Starfighter,TWI,112,Normal,Common,1,False
B2 Legionnaires,TWI,113,Normal,Common,1,False
Clone Commander Cody,TWI,114,Normal,Uncommon,1,False
Osi Sobeck,TWI,115,Normal,Uncommon,1,False
Clone,TWI,116,Normal,Legendary,1,False
Baktoid Spider Droid,TWI,117,Normal,Common,1,False
Gor,TWI,118,Normal,Legendary,1,False
Nameless Valor,TWI,119,Normal,Uncommon,1,False
Strategic Acumen,TWI,120,Normal,Common,1,False
General's Blade,TWI,121,Normal,Rare,1,False
Squad Support,TWI,122,Normal,Uncommon,1,False
Outflank,TWI,123,Normal,Special,1,False
Tactical Advantage,TWI,124,Normal,Special,1,False
The Clone Wars,TWI,125,Normal,Rare,1,False
Encouraging Leadership,TWI,126,Normal,Common,1,False
Resupply,TWI,127,Normal,Common,1,False
Take Captive,TWI,128,Normal,Common,1,False
In Defense of Kamino,TWI,129,Normal,Rare,1,False
Bo-Katan Kryze,TWI,130,Normal,Rare,1,False
OOM-Series Officer,TWI,131,Normal,Common,1,False
Confederate Tri-Fighter,TWI,132,Normal,Uncommon,1,False
B1 Attack Platform,TWI,133,Normal,Common,1,False
Asajj Ventress,TWI,134,Normal,Uncommon,1,False
Darth Maul,TWI,135,Normal,Legendary,1,False
Squadron of Vultures,TWI,136,Normal,Common,1,False
Savage Opress,TWI,137,Normal,Uncommon,1,False
Count Dooku,TWI,138,Normal,Rare,1,False
Corner the Prey,TWI,139,Normal,Rare,1,False
Self-Destruct,TWI,140,Normal,Uncommon,1,False
Soldier of the 501st,TWI,141,Normal,Common,1,False
Anakin's Interceptor,TWI,142,Normal,Uncommon,1,False
Jyn Erso,TWI,143,Normal,Rare,1,False
Batch Brothers,TWI,144,Normal,Common,1,False
Jesse,TWI,145,Normal,Uncommon,1,False
Steela Gerrera,TWI,146,Normal,Rare,1,False
Anakin Skywalker,TWI,147,Normal,Special,1,False
Senatorial Corvette,TWI,148,Normal,Common,1,False
Low Altitude Gunship,TWI,149,Normal,Uncommon,1,False
Saw Gerrera,TWI,150,Normal,Rare,1,False
Resolute,TWI,151,Normal,Legendary,1,False
Mace Windu's Lightsaber,TWI,152,Normal,Rare,1,False
Bold Resistance,TWI,153,Normal,Uncommon,1,False
Mister Bones,TWI,154,Normal,Rare,1,False
Twice the Pride,TWI,155,Normal,Uncommon,1,False
Unlimited Power,TWI,156,Normal,Legendary,1,False
Disaffected Senator,TWI,157,Normal,Uncommon,1,False
Clone Heavy Gunner,TWI,158,Normal,Common,1,False
Dendup's Loyalist,TWI,159,Normal,Common,1,False
Vanguard Droid Bomber,TWI,160,Normal,Common,1,False
Bold Recon Commando,TWI,161,Normal,Common,1,False
Reckless Torrent,TWI,162,Normal,Common,1,False
Relentless Rocket Droid,TWI,163,Normal,Common,1,False
Hevy,TWI,164,Normal,Uncommon,1,False
Kit Fisto,TWI,165,Normal,Rare,1,False
Aurra Sing,TWI,166,Normal,Uncommon,1,False
Heavy Persuader Tank,TWI,167,Normal,Common,1,False
Old Access Codes,TWI,168,Normal,Common,1,False
Clone Cohort,TWI,169,Normal,Uncommon,1,False
