Set,CardNumber,Count,IsFoil
LOF,001,1,FALSE
LOF,002,1,FALSE
LOF,003,1,FALSE
LOF,004,1,FALSE
LOF,005,1,FALSE
LOF,006,1,FALSE
LOF,007,1,FALSE
LOF,008,1,FALSE
LOF,009,1,FALSE
LOF,010,1,FALSE
LOF,011,1,FALSE
LOF,012,1,FALSE
LOF,013,1,FALSE
LOF,014,1,FALSE
LOF,015,1,FALSE
LOF,016,1,FALSE
LOF,017,1,FALSE
LOF,018,1,FALSE
LOF,019,1,FALSE
LOF,020,1,FALSE
LOF,021,1,FALSE
LOF,022,1,FALSE
LOF,023,1,FALSE
LOF,024,1,FALSE
LOF,025,1,FALSE
LOF,026,1,FALSE
LOF,027,1,FALSE
LOF,028,1,FALSE
LOF,029,1,FALSE
LOF,030,1,FALSE
LOF,031,1,FALSE
LOF,032,1,FALSE
LOF,033,1,FALSE
LOF,034,1,FALSE
LOF,035,1,FALSE
LOF,036,1,FALSE
LOF,037,1,FALSE
LOF,038,1,FALSE
LOF,039,1,FALSE
LOF,040,1,FALSE
LOF,041,1,FALSE
LOF,042,1,FALSE
LOF,043,1,FALSE
LOF,044,1,FALSE
LOF,045,1,FALSE
LOF,046,1,FALSE
LOF,047,1,FALSE
LOF,048,1,FALSE
LOF,049,1,FALSE
LOF,050,1,FALSE
LOF,051,1,FALSE
LOF,052,1,FALSE
LOF,053,1,FALSE
LOF,054,1,FALSE
LOF,055,1,FALSE
LOF,056,1,FALSE
LOF,057,1,FALSE
LOF,058,1,FALSE
LOF,059,1,FALSE
LOF,060,1,FALSE
LOF,061,1,FALSE
LOF,062,1,FALSE
LOF,063,1,FALSE
LOF,064,1,FALSE
LOF,065,1,FALSE
LOF,066,1,FALSE
LOF,067,1,FALSE
LOF,068,1,FALSE
LOF,069,1,FALSE
LOF,070,1,FALSE
LOF,071,1,FALSE
LOF,072,1,FALSE
LOF,073,1,FALSE
LOF,074,1,FALSE
LOF,075,1,FALSE
LOF,076,1,FALSE
LOF,077,1,FALSE
LOF,078,1,FALSE
LOF,079,1,FALSE
LOF,080,1,FALSE
LOF,081,1,FALSE
LOF,082,1,FALSE
LOF,083,1,FALSE
LOF,084,1,FALSE
LOF,085,1,FALSE
LOF,086,1,FALSE
LOF,087,1,FALSE
LOF,088,1,FALSE
LOF,089,1,FALSE
LOF,090,1,FALSE
LOF,091,1,FALSE
LOF,092,1,FALSE
LOF,093,1,FALSE
LOF,094,1,FALSE
LOF,095,1,FALSE
LOF,096,1,FALSE
LOF,097,1,FALSE
LOF,098,1,FALSE
LOF,099,1,FALSE
LOF,100,1,FALSE
LOF,101,1,FALSE
LOF,102,1,FALSE
LOF,103,1,FALSE
LOF,104,1,FALSE
LOF,105,1,FALSE
LOF,106,1,FALSE
LOF,107,1,FALSE
LOF,108,1,FALSE
LOF,109,1,FALSE
LOF,110,1,FALSE
LOF,111,1,FALSE
LOF,112,1,FALSE
LOF,113,1,FALSE
LOF,114,1,FALSE
LOF,115,1,FALSE
LOF,116,1,FALSE
LOF,117,1,FALSE
LOF,118,1,FALSE
LOF,119,1,FALSE
LOF,120,1,FALSE
LOF,121,1,FALSE
LOF,122,1,FALSE
LOF,123,1,FALSE
LOF,124,1,FALSE
LOF,125,1,FALSE
LOF,126,1,FALSE
LOF,127,1,FALSE
LOF,128,1,FALSE
LOF,129,1,FALSE
LOF,130,1,FALSE
LOF,131,1,FALSE
LOF,132,1,FALSE
LOF,133,1,FALSE
LOF,134,1,FALSE
LOF,135,1,FALSE
LOF,136,1,FALSE
LOF,137,1,FALSE
LOF,138,1,FALSE
LOF,139,1,FALSE
LOF,140,1,FALSE
LOF,141,1,FALSE
LOF,142,1,FALSE
LOF,143,1,FALSE
LOF,144,1,FALSE
LOF,145,1,FALSE
LOF,146,1,FALSE
LOF,147,1,FALSE
LOF,148,1,FALSE
LOF,149,1,FALSE
LOF,150,1,FALSE
LOF,151,1,FALSE
LOF,152,1,FALSE
LOF,153,1,FALSE
LOF,154,1,FALSE
LOF,155,1,FALSE
LOF,156,1,FALSE
LOF,157,1,FALSE
LOF,158,1,FALSE
LOF,159,1,FALSE
LOF,160,1,FALSE
LOF,161,1,FALSE
LOF,162,1,FALSE
LOF,163,1,FALSE
LOF,164,1,FALSE
LOF,165,1,FALSE
LOF,166,1,FALSE
LOF,167,1,FALSE
LOF,168,1,FALSE
LOF,169,1,FALSE
LOF,170,1,FALSE
LOF,171,1,FALSE
LOF,172,1,FALSE
LOF,173,1,FALSE
LOF,174,1,FALSE
LOF,175,1,FALSE
LOF,176,1,FALSE
LOF,177,1,FALSE
LOF,178,1,FALSE
LOF,179,1,FALSE
LOF,180,1,FALSE
LOF,181,1,FALSE
LOF,182,1,FALSE
LOF,183,1,FALSE
LOF,184,1,FALSE
LOF,185,1,FALSE
LOF,186,1,FALSE
LOF,187,1,FALSE
LOF,188,1,FALSE
LOF,189,1,FALSE
LOF,190,1,FALSE
LOF,191,1,FALSE
LOF,192,1,FALSE
LOF,193,1,FALSE
LOF,194,1,FALSE
